,user,employment,experience_dart,experience_development,mental_fitness,occupation,programming_frequency,work_hours,value_employment,value_experience_development,value_experience_dart,value_programming_frequency,value_work_hours,value_mental_fitness,group
0,aqua,yes,no_experience,3_5_years,4,programmer,once_day,1,1,4,1.0,5.0,1.0,4.0,control
1,beluga,yes,1_year_or_less,3_5_years,3,programmer,once_week,7,1,4,2.0,4.0,7.0,3.0,control
2,binder,yes,1_year_or_less,3_5_years,2,programmer,once_day,6,1,4,2.0,5.0,6.0,2.0,canvas
3,bread,yes,1_year_or_less,no_experience,2,student,once_day,10,1,1,2.0,5.0,10.0,2.0,canvas
4,cement,yes,1_year_or_less,2_years,4,analyst,once_month,15,1,3,2.0,3.0,15.0,4.0,canvas
5,channel,yes,3_5_years,3_5_years,3,programmer,once_day,8,1,4,4.0,5.0,8.0,3.0,canvas
6,cloudy,yes,no_experience,2_years,3,programmer,once_week,0,1,3,1.0,4.0,0.0,3.0,control
7,drive,no,2_years,2_years,2,student,once_day,2,0,3,3.0,5.0,2.0,2.0,control
8,energy,yes,2_years,2_years,2,programmer,once_day,11,1,3,3.0,5.0,11.0,2.0,control
9,epoch,yes,2_years,3_5_years,5,programmer,once_day,2,1,4,3.0,5.0,2.0,5.0,canvas
11,frame,yes,1_year_or_less,3_5_years,2,student,once_month,3,1,4,2.0,3.0,3.0,2.0,canvas
14,handshake,yes,2_years,2_years,4,programmer,once_day,0,1,3,3.0,5.0,0.0,4.0,control
15,holiday,yes,1_year_or_less,2_years,2,programmer,once_week,0,1,3,2.0,4.0,0.0,2.0,canvas
19,noon,yes,1_year_or_less,3_5_years,2,student,once_day,5,1,4,2.0,5.0,5.0,2.0,canvas
20,north,yes,2_years,2_years,2,programmer,once_day,0,1,3,3.0,5.0,0.0,2.0,control
21,outfit,yes,1_year_or_less,no_experience,4,student,once_month,6,1,1,2.0,3.0,6.0,4.0,control
22,owl,yes,1_year_or_less,2_years,4,programmer,once_week,1,1,3,2.0,4.0,1.0,4.0,canvas
23,patch,yes,3_5_years,3_5_years,1,programmer,once_day,9,1,4,4.0,5.0,9.0,1.0,control
25,soup,yes,2_years,3_5_years,1,programmer,once_day,0,1,4,3.0,5.0,0.0,1.0,canvas
26,valley,yes,1_year_or_less,6_10_years,4,other,once_week,7,1,5,2.0,4.0,7.0,4.0,control
